=== MountainCar Q-Learning Training ===
Experiment: high_learning_rate
Configuration:
  ALPHA: 0.5
  GAMMA: 0.99
  EPSILON: 1.0
  EPSILON_DECAY: 0.995
  EPISODES: 10000
  BUCKETS: (20, 20)
Start time: 2026-01-18 18:54:12

Episode 6000 | Reward: -200.0 | Avg(100): -199.95 | Success: 33.8% | Epsilon: 0.0100
Episode 6100 | Reward: -200.0 | Avg(100): -199.65 | Success: 33.3% | Epsilon: 0.0100
Episode 6200 | Reward: -177.0 | Avg(100): -192.67 | Success: 33.2% | Epsilon: 0.0100
Episode 6300 | Reward: -200.0 | Avg(100): -186.25 | Success: 33.6% | Epsilon: 0.0100
Episode 6400 | Reward: -190.0 | Avg(100): -195.81 | Success: 33.5% | Epsilon: 0.0100
Episode 6500 | Reward: -193.0 | Avg(100): -191.46 | Success: 33.5% | Epsilon: 0.0100
Episode 6600 | Reward: -200.0 | Avg(100): -188.59 | Success: 33.6% | Epsilon: 0.0100
Episode 6700 | Reward: -150.0 | Avg(100): -177.30 | Success: 34.1% | Epsilon: 0.0100
Episode 6800 | Reward: -200.0 | Avg(100): -185.87 | Success: 34.4% | Epsilon: 0.0100
Episode 6900 | Reward: -200.0 | Avg(100): -198.87 | Success: 34.1% | Epsilon: 0.0100
Episode 7000 | Reward: -200.0 | Avg(100): -197.55 | Success: 33.9% | Epsilon: 0.0100
Episode 7100 | Reward: -200.0 | Avg(100): -200.00 | Success: 33.4% | Epsilon: 0.0100
Episode 7200 | Reward: -200.0 | Avg(100): -196.73 | Success: 33.2% | Epsilon: 0.0100
Episode 7300 | Reward: -191.0 | Avg(100): -198.01 | Success: 33.0% | Epsilon: 0.0100
Episode 7400 | Reward: -200.0 | Avg(100): -199.52 | Success: 32.6% | Epsilon: 0.0100
Episode 7500 | Reward: -200.0 | Avg(100): -194.60 | Success: 32.5% | Epsilon: 0.0100
Episode 7600 | Reward: -200.0 | Avg(100): -196.29 | Success: 32.3% | Epsilon: 0.0100
Episode 7700 | Reward: -151.0 | Avg(100): -196.99 | Success: 32.1% | Epsilon: 0.0100
Episode 7800 | Reward: -200.0 | Avg(100): -194.86 | Success: 32.2% | Epsilon: 0.0100
Episode 7900 | Reward: -199.0 | Avg(100): -196.78 | Success: 32.1% | Epsilon: 0.0100
Episode 8000 | Reward: -200.0 | Avg(100): -189.98 | Success: 32.2% | Epsilon: 0.0100
Episode 8100 | Reward: -163.0 | Avg(100): -185.77 | Success: 32.5% | Epsilon: 0.0100
Episode 8200 | Reward: -200.0 | Avg(100): -192.26 | Success: 32.5% | Epsilon: 0.0100
Episode 8300 | Reward: -200.0 | Avg(100): -189.63 | Success: 32.5% | Epsilon: 0.0100
Episode 8400 | Reward: -200.0 | Avg(100): -193.94 | Success: 32.3% | Epsilon: 0.0100
Episode 8500 | Reward: -200.0 | Avg(100): -199.54 | Success: 32.0% | Epsilon: 0.0100
Episode 8600 | Reward: -193.0 | Avg(100): -195.33 | Success: 32.0% | Epsilon: 0.0100
Episode 8700 | Reward: -185.0 | Avg(100): -191.15 | Success: 32.1% | Epsilon: 0.0100
Episode 8800 | Reward: -157.0 | Avg(100): -178.63 | Success: 32.4% | Epsilon: 0.0100
Episode 8900 | Reward: -200.0 | Avg(100): -165.42 | Success: 32.9% | Epsilon: 0.0100
Episode 9000 | Reward: -122.0 | Avg(100): -167.49 | Success: 33.5% | Epsilon: 0.0100
Episode 9100 | Reward: -155.0 | Avg(100): -155.99 | Success: 34.1% | Epsilon: 0.0100
Episode 9200 | Reward: -200.0 | Avg(100): -179.38 | Success: 34.6% | Epsilon: 0.0100
Episode 9300 | Reward: -200.0 | Avg(100): -177.70 | Success: 34.8% | Epsilon: 0.0100
Episode 9400 | Reward: -195.0 | Avg(100): -193.32 | Success: 35.1% | Epsilon: 0.0100
Episode 9500 | Reward: -194.0 | Avg(100): -197.70 | Success: 35.2% | Epsilon: 0.0100
Episode 9600 | Reward: -189.0 | Avg(100): -193.34 | Success: 35.2% | Epsilon: 0.0100
Episode 9700 | Reward: -200.0 | Avg(100): -190.50 | Success: 35.2% | Epsilon: 0.0100
Episode 9800 | Reward: -178.0 | Avg(100): -197.78 | Success: 35.0% | Epsilon: 0.0100
Episode 9900 | Reward: -200.0 | Avg(100): -183.78 | Success: 35.4% | Epsilon: 0.0100

=== Training Complete ===
Final average reward (last 100 episodes): -196.75
Maximum reward achieved: -114.00
Overall success rate: 35.14%
Average steps (last 100): 196.75
Training time: 65.24 seconds
End time: 2026-01-18 18:55:17
