=== MountainCar Q-Learning Training ===
Experiment: baseline
Configuration:
  ALPHA: 0.1
  GAMMA: 0.99
  EPSILON: 1.0
  EPSILON_DECAY: 0.995
  EPISODES: 10000
  BUCKETS: (20, 20)
Start time: 2026-01-18 18:53:10

Episode 6000 | Reward: -121.0 | Avg(100): -170.56 | Success: 53.1% | Epsilon: 0.0100
Episode 6100 | Reward: -200.0 | Avg(100): -172.97 | Success: 53.3% | Epsilon: 0.0100
Episode 6200 | Reward: -200.0 | Avg(100): -167.86 | Success: 53.7% | Epsilon: 0.0100
Episode 6300 | Reward: -162.0 | Avg(100): -185.28 | Success: 53.3% | Epsilon: 0.0100
Episode 6400 | Reward: -185.0 | Avg(100): -148.01 | Success: 54.1% | Epsilon: 0.0100
Episode 6500 | Reward: -125.0 | Avg(100): -164.88 | Success: 54.5% | Epsilon: 0.0100
Episode 6600 | Reward: -164.0 | Avg(100): -173.69 | Success: 55.1% | Epsilon: 0.0100
Episode 6700 | Reward: -166.0 | Avg(100): -173.37 | Success: 55.8% | Epsilon: 0.0100
Episode 6800 | Reward: -191.0 | Avg(100): -170.73 | Success: 56.4% | Epsilon: 0.0100
Episode 6900 | Reward: -157.0 | Avg(100): -174.68 | Success: 56.9% | Epsilon: 0.0100
Episode 7000 | Reward: -152.0 | Avg(100): -177.11 | Success: 57.3% | Epsilon: 0.0100
Episode 7100 | Reward: -187.0 | Avg(100): -171.51 | Success: 57.7% | Epsilon: 0.0100
Episode 7200 | Reward: -187.0 | Avg(100): -186.19 | Success: 57.7% | Epsilon: 0.0100
Episode 7300 | Reward: -200.0 | Avg(100): -194.89 | Success: 57.4% | Epsilon: 0.0100
Episode 7400 | Reward: -161.0 | Avg(100): -151.50 | Success: 57.8% | Epsilon: 0.0100
Episode 7500 | Reward: -156.0 | Avg(100): -154.29 | Success: 58.4% | Epsilon: 0.0100
Episode 7600 | Reward: -154.0 | Avg(100): -164.40 | Success: 58.9% | Epsilon: 0.0100
Episode 7700 | Reward: -149.0 | Avg(100): -167.88 | Success: 59.4% | Epsilon: 0.0100
Episode 7800 | Reward: -167.0 | Avg(100): -155.70 | Success: 59.9% | Epsilon: 0.0100
Episode 7900 | Reward: -200.0 | Avg(100): -180.95 | Success: 59.8% | Epsilon: 0.0100
Episode 8000 | Reward: -160.0 | Avg(100): -183.36 | Success: 59.6% | Epsilon: 0.0100
Episode 8100 | Reward: -200.0 | Avg(100): -176.14 | Success: 59.8% | Epsilon: 0.0100
Episode 8200 | Reward: -200.0 | Avg(100): -180.99 | Success: 60.0% | Epsilon: 0.0100
Episode 8300 | Reward: -161.0 | Avg(100): -191.86 | Success: 59.8% | Epsilon: 0.0100
Episode 8400 | Reward: -200.0 | Avg(100): -188.55 | Success: 59.6% | Epsilon: 0.0100
Episode 8500 | Reward: -160.0 | Avg(100): -159.90 | Success: 59.9% | Epsilon: 0.0100
Episode 8600 | Reward: -200.0 | Avg(100): -169.61 | Success: 60.0% | Epsilon: 0.0100
Episode 8700 | Reward: -186.0 | Avg(100): -190.16 | Success: 59.6% | Epsilon: 0.0100
Episode 8800 | Reward: -181.0 | Avg(100): -179.29 | Success: 60.0% | Epsilon: 0.0100
Episode 8900 | Reward: -183.0 | Avg(100): -180.71 | Success: 60.3% | Epsilon: 0.0100
Episode 9000 | Reward: -158.0 | Avg(100): -165.99 | Success: 60.6% | Epsilon: 0.0100
Episode 9100 | Reward: -160.0 | Avg(100): -159.67 | Success: 61.0% | Epsilon: 0.0100
Episode 9200 | Reward: -160.0 | Avg(100): -147.47 | Success: 61.4% | Epsilon: 0.0100
Episode 9300 | Reward: -146.0 | Avg(100): -152.77 | Success: 61.6% | Epsilon: 0.0100
Episode 9400 | Reward: -200.0 | Avg(100): -155.00 | Success: 61.8% | Epsilon: 0.0100
Episode 9500 | Reward: -185.0 | Avg(100): -189.41 | Success: 61.7% | Epsilon: 0.0100
Episode 9600 | Reward: -200.0 | Avg(100): -176.09 | Success: 62.0% | Epsilon: 0.0100
Episode 9700 | Reward: -153.0 | Avg(100): -165.25 | Success: 62.3% | Epsilon: 0.0100
Episode 9800 | Reward: -153.0 | Avg(100): -164.68 | Success: 62.6% | Epsilon: 0.0100
Episode 9900 | Reward: -165.0 | Avg(100): -164.73 | Success: 63.0% | Epsilon: 0.0100

=== Training Complete ===
Final average reward (last 100 episodes): -177.57
Maximum reward achieved: -105.00
Overall success rate: 62.97%
Average steps (last 100): 177.57
Training time: 60.11 seconds
End time: 2026-01-18 18:54:10
