=== MountainCar Q-Learning Training ===
Experiment: high_discount
Configuration:
  ALPHA: 0.1
  GAMMA: 0.999
  EPSILON: 1.0
  EPSILON_DECAY: 0.995
  EPISODES: 10000
  BUCKETS: (20, 20)
Start time: 2026-01-18 18:56:25

Episode 6000 | Reward: -184.0 | Avg(100): -179.78 | Success: 52.8% | Epsilon: 0.0100
Episode 6100 | Reward: -200.0 | Avg(100): -185.32 | Success: 52.8% | Epsilon: 0.0100
Episode 6200 | Reward: -192.0 | Avg(100): -183.47 | Success: 53.2% | Epsilon: 0.0100
Episode 6300 | Reward: -184.0 | Avg(100): -172.01 | Success: 53.8% | Epsilon: 0.0100
Episode 6400 | Reward: -184.0 | Avg(100): -183.99 | Success: 54.4% | Epsilon: 0.0100
Episode 6500 | Reward: -178.0 | Avg(100): -182.82 | Success: 54.9% | Epsilon: 0.0100
Episode 6600 | Reward: -164.0 | Avg(100): -188.42 | Success: 54.6% | Epsilon: 0.0100
Episode 6700 | Reward: -155.0 | Avg(100): -180.48 | Success: 54.9% | Epsilon: 0.0100
Episode 6800 | Reward: -157.0 | Avg(100): -166.97 | Success: 55.5% | Epsilon: 0.0100
Episode 6900 | Reward: -200.0 | Avg(100): -177.16 | Success: 55.9% | Epsilon: 0.0100
Episode 7000 | Reward: -150.0 | Avg(100): -153.37 | Success: 56.4% | Epsilon: 0.0100
Episode 7100 | Reward: -128.0 | Avg(100): -144.22 | Success: 57.0% | Epsilon: 0.0100
Episode 7200 | Reward: -175.0 | Avg(100): -149.92 | Success: 57.6% | Epsilon: 0.0100
Episode 7300 | Reward: -200.0 | Avg(100): -181.70 | Success: 57.3% | Epsilon: 0.0100
Episode 7400 | Reward: -147.0 | Avg(100): -148.87 | Success: 57.9% | Epsilon: 0.0100
Episode 7500 | Reward: -166.0 | Avg(100): -157.59 | Success: 58.1% | Epsilon: 0.0100
Episode 7600 | Reward: -200.0 | Avg(100): -184.83 | Success: 58.1% | Epsilon: 0.0100
Episode 7700 | Reward: -148.0 | Avg(100): -178.61 | Success: 58.3% | Epsilon: 0.0100
Episode 7800 | Reward: -151.0 | Avg(100): -153.58 | Success: 58.9% | Epsilon: 0.0100
Episode 7900 | Reward: -154.0 | Avg(100): -150.98 | Success: 59.4% | Epsilon: 0.0100
Episode 8000 | Reward: -152.0 | Avg(100): -151.86 | Success: 59.9% | Epsilon: 0.0100
Episode 8100 | Reward: -200.0 | Avg(100): -145.74 | Success: 60.4% | Epsilon: 0.0100
Episode 8200 | Reward: -145.0 | Avg(100): -155.38 | Success: 60.7% | Epsilon: 0.0100
Episode 8300 | Reward: -146.0 | Avg(100): -170.77 | Success: 61.1% | Epsilon: 0.0100
Episode 8400 | Reward: -152.0 | Avg(100): -164.85 | Success: 61.5% | Epsilon: 0.0100
Episode 8500 | Reward: -193.0 | Avg(100): -164.42 | Success: 61.9% | Epsilon: 0.0100
Episode 8600 | Reward: -149.0 | Avg(100): -156.31 | Success: 62.4% | Epsilon: 0.0100
Episode 8700 | Reward: -186.0 | Avg(100): -170.21 | Success: 62.7% | Epsilon: 0.0100
Episode 8800 | Reward: -200.0 | Avg(100): -170.36 | Success: 62.8% | Epsilon: 0.0100
