=== MountainCar Q-Learning Training ===
Experiment: slow_exploration
Configuration:
  ALPHA: 0.1
  GAMMA: 0.99
  EPSILON: 1.0
  EPSILON_DECAY: 0.999
  EPISODES: 10000
  BUCKETS: (20, 20)
Start time: 2026-01-18 18:57:29

Episode 6000 | Reward: -164.0 | Avg(100): -143.46 | Success: 45.8% | Epsilon: 0.0100
Episode 6100 | Reward: -119.0 | Avg(100): -140.84 | Success: 46.6% | Epsilon: 0.0100
Episode 6200 | Reward: -161.0 | Avg(100): -141.28 | Success: 47.5% | Epsilon: 0.0100
Episode 6300 | Reward: -159.0 | Avg(100): -173.12 | Success: 47.8% | Epsilon: 0.0100
Episode 6400 | Reward: -182.0 | Avg(100): -170.72 | Success: 48.4% | Epsilon: 0.0100
Episode 6500 | Reward: -166.0 | Avg(100): -177.98 | Success: 48.8% | Epsilon: 0.0100
Episode 6600 | Reward: -200.0 | Avg(100): -177.31 | Success: 49.1% | Epsilon: 0.0100
Episode 6700 | Reward: -200.0 | Avg(100): -198.19 | Success: 48.5% | Epsilon: 0.0100
Episode 6800 | Reward: -163.0 | Avg(100): -181.52 | Success: 48.5% | Epsilon: 0.0100
Episode 6900 | Reward: -173.0 | Avg(100): -166.61 | Success: 49.3% | Epsilon: 0.0100
Episode 7000 | Reward: -184.0 | Avg(100): -169.27 | Success: 49.9% | Epsilon: 0.0100
Episode 7100 | Reward: -148.0 | Avg(100): -165.78 | Success: 50.6% | Epsilon: 0.0100
Episode 7200 | Reward: -157.0 | Avg(100): -168.45 | Success: 51.3% | Epsilon: 0.0100
Episode 7300 | Reward: -155.0 | Avg(100): -170.49 | Success: 51.8% | Epsilon: 0.0100
Episode 7400 | Reward: -151.0 | Avg(100): -163.40 | Success: 52.2% | Epsilon: 0.0100
Episode 7500 | Reward: -200.0 | Avg(100): -166.99 | Success: 52.4% | Epsilon: 0.0100
Episode 7600 | Reward: -194.0 | Avg(100): -176.02 | Success: 52.4% | Epsilon: 0.0100
Episode 7700 | Reward: -200.0 | Avg(100): -180.91 | Success: 52.4% | Epsilon: 0.0100
Episode 7800 | Reward: -182.0 | Avg(100): -189.14 | Success: 52.6% | Epsilon: 0.0100
Episode 7900 | Reward: -154.0 | Avg(100): -172.51 | Success: 53.1% | Epsilon: 0.0100
Episode 8000 | Reward: -163.0 | Avg(100): -165.20 | Success: 53.6% | Epsilon: 0.0100
Episode 8100 | Reward: -150.0 | Avg(100): -163.91 | Success: 54.1% | Epsilon: 0.0100
Episode 8200 | Reward: -193.0 | Avg(100): -165.26 | Success: 54.4% | Epsilon: 0.0100
Episode 8300 | Reward: -152.0 | Avg(100): -163.35 | Success: 54.9% | Epsilon: 0.0100
Episode 8400 | Reward: -190.0 | Avg(100): -166.96 | Success: 55.3% | Epsilon: 0.0100
