=== MountainCar Q-Learning Training ===
Experiment: fast_exploration
Configuration:
  ALPHA: 0.1
  GAMMA: 0.99
  EPSILON: 1.0
  EPSILON_DECAY: 0.99
  EPISODES: 10000
  BUCKETS: (20, 20)
Start time: 2026-01-18 18:58:32

Episode 6000 | Reward: -162.0 | Avg(100): -152.42 | Success: 55.2% | Epsilon: 0.0100
Episode 6100 | Reward: -166.0 | Avg(100): -164.13 | Success: 55.7% | Epsilon: 0.0100
Episode 6200 | Reward: -146.0 | Avg(100): -170.66 | Success: 56.2% | Epsilon: 0.0100
Episode 6300 | Reward: -183.0 | Avg(100): -170.17 | Success: 56.9% | Epsilon: 0.0100
Episode 6400 | Reward: -185.0 | Avg(100): -167.72 | Success: 57.5% | Epsilon: 0.0100
Episode 6500 | Reward: -164.0 | Avg(100): -163.92 | Success: 58.2% | Epsilon: 0.0100
Episode 6600 | Reward: -200.0 | Avg(100): -167.73 | Success: 58.6% | Epsilon: 0.0100
Episode 6700 | Reward: -151.0 | Avg(100): -158.73 | Success: 59.1% | Epsilon: 0.0100
Episode 6800 | Reward: -200.0 | Avg(100): -176.45 | Success: 59.4% | Epsilon: 0.0100
Episode 6900 | Reward: -200.0 | Avg(100): -177.13 | Success: 59.5% | Epsilon: 0.0100
Episode 7000 | Reward: -200.0 | Avg(100): -169.73 | Success: 59.7% | Epsilon: 0.0100
Episode 7100 | Reward: -200.0 | Avg(100): -174.63 | Success: 59.8% | Epsilon: 0.0100
Episode 7200 | Reward: -200.0 | Avg(100): -169.77 | Success: 59.9% | Epsilon: 0.0100
Episode 7300 | Reward: -200.0 | Avg(100): -177.85 | Success: 60.1% | Epsilon: 0.0100
Episode 7400 | Reward: -200.0 | Avg(100): -176.64 | Success: 60.3% | Epsilon: 0.0100
Episode 7500 | Reward: -149.0 | Avg(100): -174.67 | Success: 60.5% | Epsilon: 0.0100
Episode 7600 | Reward: -147.0 | Avg(100): -142.87 | Success: 61.0% | Epsilon: 0.0100
Episode 7700 | Reward: -156.0 | Avg(100): -151.68 | Success: 61.4% | Epsilon: 0.0100
Episode 7800 | Reward: -177.0 | Avg(100): -180.61 | Success: 61.6% | Epsilon: 0.0100
Episode 7900 | Reward: -178.0 | Avg(100): -178.06 | Success: 62.1% | Epsilon: 0.0100
Episode 8000 | Reward: -158.0 | Avg(100): -170.32 | Success: 62.5% | Epsilon: 0.0100
Episode 8100 | Reward: -150.0 | Avg(100): -176.21 | Success: 62.5% | Epsilon: 0.0100
Episode 8200 | Reward: -153.0 | Avg(100): -161.99 | Success: 62.9% | Epsilon: 0.0100
Episode 8300 | Reward: -187.0 | Avg(100): -164.15 | Success: 63.3% | Epsilon: 0.0100
Episode 8400 | Reward: -192.0 | Avg(100): -166.61 | Success: 63.7% | Epsilon: 0.0100
Episode 8500 | Reward: -140.0 | Avg(100): -157.78 | Success: 64.2% | Epsilon: 0.0100
Episode 8600 | Reward: -200.0 | Avg(100): -157.15 | Success: 64.5% | Epsilon: 0.0100
Episode 8700 | Reward: -177.0 | Avg(100): -158.24 | Success: 64.8% | Epsilon: 0.0100
Episode 8800 | Reward: -167.0 | Avg(100): -161.21 | Success: 65.1% | Epsilon: 0.0100
Episode 8900 | Reward: -157.0 | Avg(100): -145.63 | Success: 65.5% | Epsilon: 0.0100
Episode 9000 | Reward: -155.0 | Avg(100): -145.29 | Success: 65.8% | Epsilon: 0.0100
Episode 9100 | Reward: -145.0 | Avg(100): -142.93 | Success: 66.1% | Epsilon: 0.0100
Episode 9200 | Reward: -110.0 | Avg(100): -142.31 | Success: 66.4% | Epsilon: 0.0100
Episode 9300 | Reward: -140.0 | Avg(100): -146.36 | Success: 66.8% | Epsilon: 0.0100
Episode 9400 | Reward: -124.0 | Avg(100): -142.52 | Success: 67.1% | Epsilon: 0.0100
Episode 9500 | Reward: -144.0 | Avg(100): -138.01 | Success: 67.4% | Epsilon: 0.0100
Episode 9600 | Reward: -191.0 | Avg(100): -141.98 | Success: 67.7% | Epsilon: 0.0100
Episode 9700 | Reward: -144.0 | Avg(100): -138.61 | Success: 68.1% | Epsilon: 0.0100
Episode 9800 | Reward: -115.0 | Avg(100): -146.16 | Success: 68.3% | Epsilon: 0.0100
Episode 9900 | Reward: -159.0 | Avg(100): -176.93 | Success: 68.1% | Epsilon: 0.0100

=== Training Complete ===
Final average reward (last 100 episodes): -189.71
Maximum reward achieved: -91.00
Overall success rate: 67.69%
Average steps (last 100): 189.71
Training time: 58.67 seconds
End time: 2026-01-18 18:59:31
